local_authority_id,local_authority_name,local_authority_code,year,link_length_km,link_length_miles,cars_and_taxis,all_motor_vehicles
1,Isles of Scilly,E06000053,1993,36.01,22.38,9.00E+05,1400000
2,Nottinghamshire,E10000024,1993,4650.69,2889.8,2702600000,3368900000
3,Glasgow City,S12000049,1993,1768.54,1098.92,1381200000,1662600000
4,North Lanarkshire,S12000050,1993,1606.71,998.36,1253500000,1547600000
5,Somerset,E06000066,1993,6630.33,4119.9,2410300000,2958200000
6,Newport,W06000022,1993,708.92,440.5,712300000,883200000
7,Bridgend,W06000013,1993,731.8,454.72,504200000,599100000
8,Swansea,W06000011,1993,1139.55,708.08,711900000,838700000
9,Isle of Anglesey,W06000001,1993,1154.03,717.08,217400000,264700000
10,Gwynedd,W06000002,1993,2405.76,1494.87,524500000,639700000
11,Conwy,W06000003,1993,1590.36,988.2,457700000,554200000
12,Denbighshire,W06000004,1993,1391.39,864.57,353700000,431300000
13,Monmouthshire,W06000021,1993,1572.27,976.96,504400000,646700000
14,Powys,W06000023,1993,5111.7,3176.26,568200000,740500000
15,Carmarthenshire,W06000010,1993,3534.68,2196.35,711100000,9.07E+08
16,Pembrokeshire,W06000009,1993,2537.44,1576.69,415300000,522700000
17,Neath Port Talbot,W06000012,1993,847.91,526.87,480100000,593400000
18,The Vale of Glamorgan,W06000014,1993,888.31,551.97,473300000,554300000
19,Cardiff,W06000015,1993,1030.44,640.29,1305100000,1524500000
20,Flintshire,W06000005,1993,1228.84,763.57,701900000,853800000
21,Merthyr Tydfil,W06000024,1993,324.48,201.62,1.58E+08,189900000
22,"Rhondda, Cynon, Taff",W06000016,1993,1128.72,701.35,871300000,1037400000
23,Ceredigion,W06000008,1993,2223.87,1381.85,291300000,372200000
24,Blaenau Gwent,W06000019,1993,389.63,242.1,170700000,204100000
25,Torfaen,W06000020,1993,460.14,285.92,262300000,307700000
26,Wrexham,W06000006,1993,1171.74,728.09,389700000,477300000
27,West Lothian,S12000040,1993,1073.34,666.94,657100000,803400000
28,Renfrewshire,S12000038,1993,900.79,559.72,611200000,729200000
29,City of Edinburgh,S12000036,1993,1434.16,891.15,1295100000,1538300000
30,Falkirk,S12000014,1993,888.54,552.11,562900000,692200000
31,Perth & Kinross,S12000048,1993,2975.15,1848.67,923500000,1155700000
32,Fife,S12000047,1993,2701.65,1678.73,1163100000,1408500000
33,Scottish Borders,S12000026,1993,3183.93,1978.4,4.76E+08,600900000
34,East Lothian,S12000010,1993,1040.07,646.27,3.29E+08,405900000
35,Highland,S12000017,1993,8149.41,5063.81,1015800000,1265200000
36,Midlothian,S12000019,1993,620.04,385.27,268500000,323400000
